"filename", "language", "JSON", "YAML", "Markdown", "Dart", "Properties", "Groovy", "Swift", "XML", "C++", "HTML", "comment", "blank", "total"
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_food/functions/food_or_water_alert_dialog.dart", "Dart", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 2, 44
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_food/functions/get_formatted_date.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_food/functions/is_same_day.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_food/functions/show_delete_confirmation_dialog.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 2, 47
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_food/functions/show_ingredient_details.dart", "Dart", 0, 0, 0, 236, 0, 0, 0, 0, 0, 0, 1, 7, 244
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_food/functions/show_meal_details.dart", "Dart", 0, 0, 0, 392, 0, 0, 0, 0, 0, 0, 5, 9, 406
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_food/functions/show_new_product.dart", "Dart", 0, 0, 0, 346, 0, 0, 0, 0, 0, 0, 1, 11, 358
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_food/functions/show_product_details.dart", "Dart", 0, 0, 0, 515, 0, 0, 0, 0, 0, 0, 1, 13, 529
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_food/functions/show_recipe_details.dart", "Dart", 0, 0, 0, 656, 0, 0, 0, 0, 0, 0, 1, 13, 670
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_food/others/bottom_nav_action_button.dart", "Dart", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 2, 46
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_food/others/caregory_selector.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_food/others/date_selector.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 3, 54
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_food/others/food_screen_app_bar.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 2, 45
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_food/others/food_screen_bootom_navigation_bar.dart", "Dart", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 2, 77
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_food/others/food_screen_macro_circles.dart", "Dart", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 5, 51
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_food/others/food_screen_macro_circles_nutrient_circle.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 4, 67
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_food/others/nutrient_new_recipe.dart", "Dart", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 1, 6, 51
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_food/others/product_search_delegate.dart", "Dart", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 1, 11, 94
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_food/others/smart_goal_kcal_macros.dart", "Dart", 0, 0, 0, 355, 0, 0, 0, 0, 0, 0, 2, 18, 375
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_medications/event_type_card_medicine.dart", "Dart", 0, 0, 0, 409, 0, 0, 0, 0, 0, 0, 2, 9, 420
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_medications/event_vaccine.dart", "Dart", 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 10, 167
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_medicine/add_medicine/show_add_medicine_date.dart", "Dart", 0, 0, 0, 215, 0, 0, 0, 0, 0, 0, 0, 3, 218
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_medicine/add_medicine/show_add_medicine_emoji.dart", "Dart", 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 3, 160
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_medicine/add_medicine/show_add_medicine_name.dart", "Dart", 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 3, 183
